titolo,Isin,symbol
W IVISION 23-26,IT0005554776,WIVN26.MI
WAR EPRCOMUNICAZIONE 2022 2025,IT0005519795,WEPRB.MI
WARR AATECH 2023 2026,IT0005550501,WAAT26.MI
WARR ABC COMPANY 2022-2027,IT0005515363,WABC27.MI
WARR ACQUAZZURRA 2021 2026,IT0005443087,WACQ26.MI
WARR ADRIATICA 24-27,IT0005600231,WDEA27.MI
WARR ALFIO BARDOLLA 2017-2027,IT0005245607,WABTG.MI
WARR ALFONSINO 2021 2024,IT0005467144,WALFO.MI
WARR ALTEA GREEN POWER 22-2024,IT0005472680,WAGP24.MI
WARR AMBROMOBILIARE 2020 2026,IT0005425092,WAMB26.MI
WARR ARRAS 23-26,IT0005540643,WAGU26.MI
WARR BELLINI NAUTICA 2022 2025,IT0005497158,WBELL.MI
WARR CLOUDIA RESEARCH 23-25,IT0005576670,WAGAIN.MI
WARR COFLE 2021 2024,IT0005465635,WCFL24.MI
WARR COPERNICO 2019 2025,IT0005379372,WCOP25.MI
WARR DEODATO GALLERY 2023 2028,IT0005528929,WART28.MI
WARR DESTINATION ITALIA 21 24,IT0005454001,WDIT24.MI
WARR DOTSTAY 2022 2025,IT0005523821,WDOT25.MI
WARR E-GLOBE 23-26,IT0005557472,WEGB26.MI
WARR ELES 19 26,IT0005374258,WELES.MI
WARR ERFO 2022 2025,IT0005497836,WERFO.MI
WARR EXECUS 23-26,IT0005557498,WEXE26.MI
WARR FAE TECHNOLOGY 2022 2025,IT0005500639,WFAE25.MI
WARR FARMACOSMO 2022 2025,IT0005487415,WCOSMO.MI
WARR FINANZA TECH 2021 2024,IT0005475147,WFTC24.MI
WARR FRANCHETTI 2022 2025,IT0005508558,WFCH25.MI
WARR FRANCHI UMBERTO MARMI,IT0005335739,WFUM.MI
WARR G RENT 2021-2024,IT0005445074,WGSR24.MI
WARR ID ENTITY 2021 2024,CH1120637330,WIDNTT.MI
WARR IMPIANTI 2022-2025,IT0005518938,WMPT25.MI
WARR INNOVATEC 23-26,IT0005568305,WINC26.MI
WARR INTL CARE COMPANY 2024,IT0005469330,WICC24.MI
WARR ISCC FINTECH 2021 2024,IT0005474124,WISC24.MI
WARR LEMON SISTEMI 23-26,IT0005573305,WLS26.MI
WARR LINDBERGH 2021 2024,IT0005469207,WLDB24.MI
WARR MEGLIOQUESTO 2021 2025,IT0005450207,WMQSPA.MI
WARR NUSCO 2021-2026,IT0005453086,WNUS24.MI
WARR PALINGEO 24-26,IT0005575573,WPAL26.MI
WARR PASQUARELLI 2023-2026,IT0005546301,WPSQ26.MI
WARR POZZI MILANO 2022-2027,IT0005499923,WPOZ27.MI
WARR PRISMI 2018-2028,IT0005326613,WPRM28.MI
WARR REDELFI 22 25,IT0005496028,WRDF25.MI
WARR REDFISH LONGTERM CAPITAL,IT0005549347,WRFLTC.MI
WARR ROCKET SHARING 2022-2025,IT0005481822,WRKT25.MI
WARR SACCHERIA F.LLI 22 25,IT0005521536,WSAC25.MI
WARR SICILY BY CAR A,IT0005556532,WSBCA.MI
WARR SICILY BY CAR B,IT0005556599,WSBCB.MI
WARR SICILY BY CAR C,IT0005556607,WSBCC.MI
WARR SIF ITALIA 2021 2024,IT0005468282,WSIF24.MI
WARR SIMONE 23-26,IT0005573172,WSMN26.MI
WARR SOGES GROUP 2024-2027,IT0005597551,WSOGES.MI
WARR SOLID WORLD GRP 2022 2025,IT0005498420,WS3D25.MI
WARR SOSTRAVEL 2021 2024,IT0005446718,WSOS24.MI
WARR SVAS BIOSANA 2021 2024,IT0005469157,WSVS24.MI
WARR TAKE OFF 2022 2024,IT0005467474,WTKF24.MI
WARR TMP GROUP 2023 2025,IT0005531253,WTMP25.MI
WARR TRAWELL 2021 2024,IT0005446726,WTWL24.MI
WARR TREVI 2020-2025,IT0005402885,WTFIN.MI
WARR ULISSE BIOMED 2021-2026,IT0005453789,WUBM26.MI
WARRANT AGATOS 2018 2025,IT0005322786,WAGA25.MI
WARRANT CUBE LABS,IT0005532608,WCUBE.MI
WARRANT G.M. LEATHER 22-25,IT0005498602,WGML25.MI
WARRANT GISMONDI 1754 19-26,IT0005391104,WGIS26.MI
WARRANT HIGH QUALITY FOOD,IT0005496796,WHQF25.MI
WARRANT MAGIS,IT0005525321,WMGS.MI
WARRANT MIT SIM 2022 2024,IT0005473050,WMTS24.MI
WARRANT OSAI 2020 2025,IT0005424822,WOSA25.MI
WARRANT RENOVALO 2022-2025,IT0005500555,WRNV25.MI
WARRANT SG COMPANY 2018 2027,IT0005347593,WSGC27.MI
WARRANT SIAV 2022-2025,IT0005504094,WSIAV.MI
